position,mean_log_prob,median_log_prob,std_log_prob,count,min_log_prob,max_log_prob
169,-2.640989233551621,-1.6683404445648193,2.5984296036869843,240,-11.707755088806152,-8.856858039507642e-05
170,-3.0835494414968707,-2.3902493715286255,2.7813284929257622,240,-12.682111740112305,-0.0006187431863509119
171,-3.2203860391028383,-2.3097262382507324,3.021724154427472,240,-13.777658462524414,-0.00030727434204891324
172,-3.057960872746723,-2.1786736249923706,2.861290775370958,240,-13.535164833068848,-0.0001429217227268964
173,-3.303117231674696,-2.3725292682647705,3.238353448634888,240,-23.715532302856445,-0.0005203323671594262
174,-3.174578898217563,-2.5142199993133545,2.93047001147264,240,-14.230213165283203,-0.00023946279543451965
175,-2.7756077934652543,-2.1477023363113403,2.6069590981537636,240,-11.600608825683594,-0.0001248043408850208
176,-3.228800348353646,-2.198108196258545,3.0388929845730264,240,-15.371917724609375,-1.9788545614574105e-05
177,-3.146274456886325,-2.684277296066284,2.665323515312416,240,-11.758865356445312,-0.00010883215873036534
178,-2.508693176292824,-1.6571484804153442,2.5755459679616126,240,-14.136445045471191,-0.00022885564249008894
179,-3.1595735106921894,-2.346209764480591,2.8738494457029367,240,-15.937005996704102,-2.9801878554280847e-05
180,-3.125886488603404,-2.5856289863586426,2.7286405846859076,240,-11.047759056091309,-0.00017176583060063422
181,-2.6929310328065186,-1.9844615459442139,2.5217129142465713,240,-11.075228691101074,-0.0006952252588234842
182,-3.0473825585404786,-2.207740306854248,2.8278157731317934,240,-12.368390083312988,-0.00010847456724150106
183,-2.7034285209091045,-2.115832209587097,2.520004544339469,240,-12.319608688354492,-4.160317621426657e-05
184,-2.783183785711056,-1.7750614285469055,2.7143329787789994,240,-11.869537353515625,-0.0005393957253545523
185,-2.7215764745707607,-1.9256491661071777,2.536139921414799,240,-12.352277755737305,-6.6756979322235566e-06
186,-2.9976069640829035,-2.2870404720306396,2.767741792828846,240,-13.278576850891113,-0.0002915434306487441
187,-3.001082580094953,-2.083333730697632,2.9206205308702446,240,-15.457841873168945,-0.00042489083716645837
188,-3.0566289673665477,-2.109697937965393,2.896551464455422,240,-11.820113182067871,-0.00016640232934150845
189,-3.050410135454695,-2.0855153799057007,2.989649056991762,240,-15.23444652557373,-0.00010859376925509423
190,-2.6740802522090235,-2.168944478034973,2.4007479289928173,240,-12.39445972442627,-0.00013076403411105275
191,-3.0202318416197764,-2.31617534160614,2.870853122008099,240,-15.254414558410645,-0.000567275274079293
192,-2.8503455288147963,-2.1140397787094116,2.5196448538447895,240,-11.734201431274414,-0.0009355935617350042
